"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1423142_a_at",-0.71881173795791,6.00422832664916,-2.68075332434007,0.0139989999412291,0.0164675197470633,-3.84750663617511
"1416729_at",2.4751832826687,6.43270373766092,2.68011226759878,0.014018861426884,0.0164814168784492,-3.84883464905541
"1435596_at",0.714458223662489,7.47376962831063,2.67691110946594,0.0141184405182847,0.0165889651069691,-3.85546385989749
"1417909_at",2.87266128361391,6.03339320440092,2.67371876062127,0.0142184114680442,0.0166968501643087,-3.86207099237117
"1434949_at",-0.787387459318678,4.64666394221021,-2.67221188642307,0.0142658326214288,0.0167429370823416,-3.86518840255019
"1450332_s_at",0.750490491748403,6.80502792860438,2.66790772743017,0.0144021088157802,0.0168931952203424,-3.87408809398298
"1436750_a_at",-0.577293799363085,6.77590673879021,-2.66510569824014,0.0144914855413179,0.0169867729667486,-3.87987807127876
"1449514_at",0.634268687886019,9.04859877625932,2.66488722658833,0.0144984761454475,0.0169867729667486,-3.88032938544154
"1441887_x_at",1.02117879970813,4.74168625981878,2.65982217630398,0.0146614424854186,0.0171678869125999,-3.89078757756242
"1431296_at",0.809742592853784,5.91885023777598,2.65702892270944,0.0147520532466539,0.0172641171709413,-3.89655084170016
"1448921_a_at",-0.614030522051982,6.60735024834027,-2.64997140201938,0.0149833551396889,0.017524792305016,-3.91109919975824
"1448363_at",0.544106804039931,8.80251348849101,2.64785023072097,0.0150535404997303,0.0175968327302783,-3.91546804636888
"1417978_at",0.614247280377794,6.56342409441376,2.63788926040258,0.0153872991177885,0.0179754396172775,-3.93596086774495
"1448723_at",1.99904456054789,4.88701825902877,2.63766240434476,0.0153949810003441,0.0179754396172775,-3.93642713484513
"1416295_a_at",-0.822454277056679,10.3650199391814,-2.62851089559828,0.0157079061491891,0.0183303656943244,-3.95521996331385
"1433656_a_at",-0.618841171185927,7.91642805818382,-2.62324192902415,0.0158907825655968,0.0185332133794659,-3.96602509606518
"1416316_at",1.59560912340772,7.39383976542614,2.61824282274445,0.0160661459985464,0.0187270728543102,-3.97626676931468
"1448546_at",-0.615527637046233,8.73856823732413,-2.61753563048571,0.016091100273502,0.0187346438561018,-3.97771480209786
"1418190_at",1.79274743809828,6.25120800385898,2.61733732741874,0.0160981042286173,0.0187346438561018,-3.97812080818767
"1435657_at",0.844121777822651,7.74186792471471,2.61728127290231,0.0161000845638375,0.0187346438561018,-3.97823557150974
"1416677_at",2.34935637665266,7.82427928973036,2.61624657313271,0.0161366804386494,0.0187665653255844,-3.98035374394871
"1437870_at",1.08025170593032,5.5602514292255,2.61518185769552,0.0161744197135071,0.0187997795534974,-3.98253292240313
"1448680_at",5.53099805326311,7.4152209722855,2.61489714057074,0.0161845257075543,0.0188008557283444,-3.983115584022
"1456573_x_at",-0.627494002979039,7.01862210379723,-2.60810194925102,0.0164274919725224,0.0190722809295498,-3.99701215813145
"1428535_at",0.939826044260228,6.13214341546905,2.59758430034794,0.0168103375851367,0.0195057061611105,-4.01848526787009
"1455093_a_at",2.04837095863514,6.445441745197,2.59060615852268,0.0170689594753855,0.0197945804108661,-4.03270766450022
"1422865_at",-0.564237613590528,5.43017153063885,-2.58394803958941,0.0173192048154536,0.0200734190503955,-4.04625958413276
"1448683_at",2.0706671137465,5.47479723963286,2.58350102888702,0.017336128652873,0.0200790189677286,-4.04716878880021
"1452257_at",-0.712043337385394,6.59548201984329,-2.58330263574129,0.0173436448017148,0.0200790189677286,-4.04757228791304
"1423866_at",5.10726581623361,6.98251186900603,2.57997441526863,0.0174701923686023,0.0202090169558211,-4.0543389710492
"1433681_x_at",0.662631012746822,7.74065816208482,2.57983090486627,0.0174756684710738,0.0202090169558211,-4.05463064466497
"1435268_at",0.529396212537138,7.74886872080089,2.57700078491668,0.0175839909008607,0.0203228066393694,-4.06038093659357
"1418724_at",2.04411367893191,6.84731107863917,2.57625288987404,0.0176127216699737,0.0203371784966118,-4.06189998158708
"1425324_x_at",-1.34597361174516,6.11771008234779,-2.57616017443183,0.017616286451655,0.0203371784966118,-4.06208827953395
"1428079_at",3.81550420038481,6.74606623469386,2.57135075146903,0.0178021343235805,0.0205401527294045,-4.07185105786742
"1426547_at",3.9657474469008,6.74745978010466,2.57042698464597,0.0178380410816378,0.0205699933193661,-4.07372515954589
"1449579_at",0.686840707910448,7.78366732403888,2.56722402174298,0.0179630674118838,0.0207025110070557,-4.08022050868801
"1434120_a_at",0.658795340140115,10.2434659440608,2.55342447538146,0.0185111920091442,0.0213222279160446,-4.10815680802088
"1437993_x_at",-0.513612417278743,8.45318280220468,-2.54896042244699,0.0186918388728233,0.021518204615819,-4.11717720817903
"1416676_at",2.44829453919905,5.73110095185729,2.5482642752142,0.0187201584123186,0.0215386991170947,-4.11858315227032
"1417246_at",3.72107787955735,6.460391967145,2.54587325933065,0.0188177325086476,0.0216388075113477,-4.12341053559073
"1428012_at",1.77944835685074,4.66522581276239,2.54145786714451,0.0189991728408585,0.0218351885398868,-4.13231882806566
"1416129_at",1.64140094765696,6.07644754439928,2.53927673690925,0.0190894050929816,0.0219265853227293,-4.13671638189605
"1425214_at",0.707314168690509,6.90809980258965,2.52887405996388,0.0195253088386917,0.0224147043170631,-4.15766270697488
"1431166_at",-0.591198408322081,6.68842623137012,-2.52621449331181,0.019638239406734,0.0225317166974741,-4.16301059419443
"1450696_at",0.874633327559728,10.0025423640482,2.52265257201191,0.0197904437063624,0.0226936330966575,-4.17016827934695
"1455009_at",0.680179293254355,6.62171703569833,2.52186640195547,0.0198241858971824,0.0227196042067317,-4.17174736786982
"1425260_at",4.8160121497818,9.12277376606778,2.52075284613913,0.0198720715276038,0.0227617463582397,-4.17398359128128
"1422180_a_at",1.05207490159976,6.41424975464118,2.50203829071054,0.020693208389256,0.0236890390056995,-4.21148705623766
"1455203_at",0.707309053234816,5.51625235127808,2.49574175009308,0.0209765367604285,0.0239999705504791,-4.22407150905294
"1428562_at",0.613833882897202,7.71783560077767,2.4840954410225,0.0215101616282235,0.0245967677356794,-4.24730312972808
"1416503_at",0.672709507960056,6.46708711196247,2.48381368184091,0.0215232272254796,0.0245979739719767,-4.2478644448746
"1417950_a_at",2.81539807959859,7.87161059461287,2.48333599605802,0.0215453951556989,0.0246095757272009,-4.2488160024147
"1423413_at",0.581820687987056,8.21176099595068,2.47991264748543,0.0217048867305965,0.0247779308942373,-4.25563246400468
"1415837_at",-1.12049963425704,5.22073517777245,-2.47422469394558,0.0219723220780891,0.025069256610544,-4.26694684592904
"1433658_x_at",-0.417470343017238,4.69874420921144,-2.47236184223582,0.0220605752219116,0.0251559343287722,-4.2706493275638
"1415994_at",2.42195177820006,6.99642813392292,2.45554922819224,0.0228721582565395,0.0260668781910924,-4.30399600948085
"1449431_at",0.754621323207105,3.91622545780923,2.4545077946082,0.022923334173234,0.0261106720727382,-4.30605751945672
"1455970_at",0.725136474433627,7.33113011624655,2.45166755202554,0.0230634456742064,0.0262545036708468,-4.31167731368654
"1419063_at",0.639395612067627,5.09345035261949,2.45142905034359,0.0230752473669552,0.0262545036708468,-4.31214905771446
"1449368_at",1.37725681318931,6.38784668521466,2.4497383225929,0.0231590703364938,0.026335244891249,-4.31549250523372
"1419232_a_at",3.1409596949081,6.34325548046927,2.44731881228838,0.0232795179541722,0.0264495512600396,-4.32027492263316
