"","GSM944836_inf_lin","GSM944850_inf_lin","GSM944857_inf_lin","GSM944864_inf_lin","GSM944854_uni_lin","GSM944847_uni_lin","GSM944840_uni_lin","GSM944861_uni_lin","GSM944835_inf_unt","GSM944849_inf_unt","GSM944863_inf_unt","GSM944856_inf_unt","GSM944845_uni_unt","GSM944852_uni_unt","GSM944859_uni_unt","GSM944838_uni_unt","GSM944865_inf_van","GSM944837_inf_van","GSM944851_inf_van","GSM944858_inf_van","GSM944841_uni_van","GSM944855_uni_van","GSM944862_uni_van","GSM944848_uni_van"
"Phf1",7.1770237396844,7.2719331474491,7.16168279671362,7.07257877084121,8.66088986639519,8.5926154820977,8.18913180917952,8.21029285048848,7.62703824548275,7.22159416157885,7.60053849816264,7.04867852791797,8.5163362999744,8.46423261888967,8.4310833501578,8.14582996940959,7.13652934251408,7.19662716551385,7.03229523993625,7.53560505896382,8.41713455659277,8.47842696503803,8.05822296672661,8.2203901246925
"Ccm2",8.80072814717477,9.08712046637594,8.80941037667024,9.02930254384297,9.91338616110552,10.247097494779,9.77011959477843,10.1109996647959,8.99242412212459,8.73021554768277,9.17137579314589,8.36734748406592,10.0672853570195,10.003116812196,10.1393842629325,9.77292951294485,8.78422081901553,8.93134332553989,9.21609078657644,8.73232171445254,10.405795043092,10.3719034195605,9.89103378689113,10.0528416341661
"Cep68",6.13846079012557,6.21912857951678,6.08449728009857,6.23386369466419,7.56574938910623,7.43525722521692,7.03761813948537,7.37151548154704,6.32719735885171,6.06114813940001,5.62204295541679,5.94519210497683,7.3210726113397,7.34910829841354,7.42290734415074,7.07431873803091,6.0011364971664,6.144481347449,5.93994181698276,6.42459281380037,7.79581450631811,7.58572868954751,7.39628785237253,7.20945195344715
"Papolg",6.36257449461202,6.51877724079013,6.23043968994278,6.53904859396145,7.54995709850913,7.90417132724989,7.22688452670623,7.42394962540638,6.53904859396145,6.31176441060865,6.99891466307133,5.88290077857455,7.5806227732651,7.30542770841674,7.42131144945751,7.37395899006275,6.29561587921832,6.30719890805035,6.43740541997889,6.26929672599664,7.85552806914403,7.89853386672371,7.19009125204866,7.57003623243218
"Tec",8.08775959264613,8.32305804142905,8.3268418042403,8.19596491799667,8.82014034420282,9.39389936233813,8.98824827786393,8.90853784550786,7.91077158634018,8.01507173264337,8.29973872472998,8.04866168633524,9.3119219391228,9.18024585514892,9.31401835475577,8.99510693392886,8.08883473829564,8.01225180043693,8.12606287720917,8.23252435461116,9.68641332944767,9.51699545758259,9.09374485302926,9.01643358216354
"Chd3",7.67743115602835,7.59976280380069,7.45201584657802,7.56165478100923,8.93270004988556,8.82022575193679,8.79298190678435,8.86819934393586,7.39071909352584,7.39697531535307,7.48402970963408,7.17513388458038,8.83749883116794,8.75038219291947,8.92172767574432,8.58011155886204,7.70636798065102,7.40230772278295,7.42092241672681,7.76903860582058,9.00667875811568,8.83064955121646,8.52755353696776,8.61502464195205
"Acap1",9.06140156861072,9.23634926919754,9.3174641843468,9.30420185414387,10.880505055611,10.8581624887274,10.5348420892986,10.6217267597785,9.15342330744133,9.3316729945325,9.81504931496818,8.5463975647489,10.728903139778,10.7125108200486,10.9281906429162,10.460752497405,9.49867065259869,9.1344995612616,9.31879171759604,9.59715546875502,11.0648555054164,11.0254891729289,10.5479595923652,10.6078965526696
"Spns2",5.7712072676818,6.30333061320688,6.40755718386998,6.17751914404553,7.16594659418386,6.95240931515703,6.84862972077375,7.00468253634061,5.99987038496116,5.76083554439049,5.98570876864189,6.16278480048724,7.0443948703259,6.81766560923262,7.13264166909801,6.67154413662581,6.15445187629435,5.72214626426916,5.98915448826629,5.96628632239204,7.16736729279465,7.15407065287502,6.97551559367186,6.99962071407567
"Tmem106a",7.99049237094272,8.60219483194045,8.35936518324636,8.70495186910661,6.54495716939709,6.61287924688975,6.59607282068855,6.46924195134247,7.09227809399213,8.5269089311203,8.65883959454784,7.98080830679825,6.41898984325367,6.29555491493511,6.59971575206801,6.69082436691297,8.02664328107147,8.5711218248267,8.34956683106401,6.96624090316061,6.63870427897722,7.0088271872974,6.77463446832592,7.29294030968639
"Tnrc6c",6.49775850129585,6.52484778244626,6.30213199610574,6.33797778052633,7.58854644843703,7.6127689093101,7.2263761799522,7.655007446572,6.35707629702295,6.57285800694795,6.91927304613499,6.29213796298779,7.67844804870763,7.57621272785718,7.63434867637957,7.14781018919068,6.67582067130569,6.42148304531073,6.52449525469674,6.73566111347462,8.12400639741673,7.91886757929052,7.53168938483551,7.44821742996112
